User stories LT;User stories ENG;KR1 Atomiškumas ;KR2 Viso sakinio pilnumas ;KR3 Dviprasmiškumas
Aš kaip mobilios programėlės vartotojas, noriu matyti nuolaidas artimiausioje degalinėje, kad galėčiau lengvai rasti pigesnį kurą.;As a mobile app user, I want to see discounts at the nearest gas station so I can easily find cheaper fuel.;1;1;1
Aš kaip mobilios programėlės vartotojas, noriu matyti nuolaidų akcijas įvairioms kuro rūšims, kad pasirinkčiau geriausią variantą.;As a mobile app user, I want to see discount promotions for different types of fuel to choose the best option.;1;1;1
Aš kaip mobilios programėlės vartotojas, noriu matyti nuolaidų istoriją, kad galėčiau stebėti, kada buvo geriausios akcijos kurui.;As a mobile app user, I want to see discount history so I can track when the best fuel deals were.;1;1;1
Aš kaip mobilios programėlės vartotojas, noriu matyti praeities kuro kainų pokyčius, kad žinočiau, kada buvo geriausios nuolaidos.;As a mobile app user, I want to see past fuel price changes so I know when the best discounts were.;1;1;1
Aš kaip mobilios programėlės vartotojas, noriu turėti galimybę dalintis kuro nuolaidomis su draugais, kad kartu sutaupytume.;As a mobile app user, I want to be able to share fuel discounts with friends to save together.;1;1;1
Aš kaip mobilios programėlės vartotojas, noriu turėti galimybę iš anksto užsisakyti kurą su nuolaida, kad sutaupyčiau.;As a mobile app user, I want to be able to pre-order discounted fuel to save money.;1;1;1
Aš kaip mobilios programėlės vartotojas, noriu turėti galimybę išnaudoti kauptus taškus  kitoms prekėms.;As a mobile app user, I want to be able to use accumulated points for other goods.;1;0;1
Aš kaip mobilios programėlės vartotojas, noriu turėti galimybę naudoti programėlės nuolaidas ir užsienio degalinėse.;As a mobile app user, I want to be able to use app discounts at foreign gas stations as well.;0;0;0
Aš kaip mobilios programėlės vartotojas, noriu turėti galimybę naudotis nuolaidomis per kelis įrenginius.;As a mobile app user, I want to be able to use discounts across multiple devices.;1;0;0
Aš kaip mobilios programėlės vartotojas, noriu turėti galimybę pamatyti ateinančių nuolaidų datas, kad galėčiau planuoti kuro pirkimą.;As a mobile app user, I want to be able to see upcoming discount dates so I can plan my fuel purchases.;1;1;1
Aš kaip mobilios programėlės vartotojas, noriu turėti galimybę peržiūrėti savo visų laikų sutaupytus pinigus naudojant nuolaidas.;As a mobile app user, I want to be able to view my all-time savings with discounts.;1;0;1
Aš kaip mobilios programėlės vartotojas, noriu turėti lojalumo programą, kad galėčiau kaupti taškus ir gauti kuro pigiau;As a mobile app user, I want to have a loyalty program so I can collect points and get cheaper fuel;0;1;0
Aš kaip mobilios programėlės programuotojas, noriu automatizuoti loterijos laimėtų prizų priskyrimą vartotojams, kad nereikėtų to daryti rankiniu būdu. ;As a mobile app developer, I want to automate the allocation of lottery winning prizes to users so that it doesn't have to be done manually.;1;1;1
Aš kaip mobilios programėlės programuotojas, noriu sukurti funkciją QR kodo skanavimą per programėlę, kad vartotojai galėtų identifikuoti degalinės numerį. ;As a mobile app developer, I want to create a QR code scanning feature through the app so that users can identify the gas station number.;1;1;1
Aš kaip mobilios programėlės programuotojas, noriu sukurti galimybę fotografuoti čekį ir įkelti prie pirkimo istorijos, kad įrašai būtų vienoje vietoje. ;As a mobile app developer, I want to create an option to take a photo of a receipt and upload it to the purchase history to keep records in one place.;0;1;0
Aš kaip mobilios programėlės programuotojas, noriu sukurti integraciją su kita lojalumo kortele, kad vartotojai daugiau naudotų šią programėlę.;As a mobile app developer, I want to create an integration with another loyalty card so that users can use this app more.;1;1;1
Aš kaip mobilios programėlės programuotojas, noriu sukurti įvairias animacijas.;As a mobile app developer, I want to create various animations.;1;0;1
Aš kaip mobilios programėlės testuotojas, noriu simuliuoti skirtingas lokacijas, kad ištestuočiau kitų degalinių paslaugų funkcionalumą. ;As a mobile app tester, I want to simulate different locations to test the functionality of other gas station services.;1;1;1
Aš kaip mobilios programėlės testuotojas, noriu turėti galimybę įjungti kasoje naktinį režimą, kad galėčiau ištestuoti programėlės paslaugų funkcionalumus. ;As a mobile app tester, I want to be able to enable night mode at the checkout to test the functionality of the app's services.;1;1;1
Aš kaip mobilios programėlės testuotojas, noriu turėti galimybę susimuliuoti degalų apmokėjimus, kad ištestuočiau funkcionalumus. ;As a mobile app tester, I want to be able to simulate gas payments to test functionality.;1;1;1
Aš kaip mobilios programėlės vartotojas, noriu  turėti galimybę pasirinkti mėgstamiausią degalinę, kad galėčiau ją greičiau surasti.;As a mobile app user, I want to be able to select my favorite gas station so I can find it faster.;1;1;1
Aš kaip mobilios programėlės vartotojas, noriu naujienų skiltyje matyti naujienas, kad galėčiau paskaityti.;As a mobile app user, I want to see the news in the news section so I can read it.;1;1;1
Aš kaip mobilios programėlės vartotojas, noriu gauti push pranešimus apie programėlės atsinaujinimą, kad galėčiau tinkamu metu atnaujinti.;As a mobile app user, I want to receive push notifications about app updates so that I can update at the right time.;1;1;1
Aš kaip mobilios programėlės vartotojas, noriu įjungti biometriką, kad atsiskaitymo metu, nereikėtų vesti PIN kodo. ;As a mobile app user, I want to enable biometrics so that I don't have to enter a PIN code during checkout.;1;1;1
Aš kaip mobilios programėlės vartotojas, noriu įkelti nufotografuotą kelionės lapą, kad nereikėtų visų duomenų vesti ranka.;As a mobile app user, I want to upload a photo of the travel sheet so that I don't have to enter all the data by hand.;1;1;1
Aš kaip mobilios programėlės vartotojas, noriu matyti apsipirkimų istoriją, kad žinočiau išleistą pinigų sumą. ;As a mobile app user, I want to see my shopping history to know the amount of money spent.;1;1;1
Aš kaip mobilios programėlės vartotojas, noriu matyti degalinių sąrašą su plovyklomis kai esu neįsijungęs lokacijos, kad galėčiau pasirinkti reikiamą degalinę. ;As a user of the mobile app, I want to see a list of gas stations with car washes when I am offline, so that I can choose the required gas station.;1;1;1
Aš kaip mobilios programėlės vartotojas, noriu matyti degalų kainą, kad žinočiau kiek kainuoja. ;As a user of the mobile app, I want to see the fuel price so I know how much it costs.;1;1;1
Aš kaip mobilios programėlės vartotojas, noriu matyti savo lojalumo nuolaidas.;As a mobile app user, I want to see my loyalty discounts.;1;0;1
Aš kaip mobilios programėlės vartotojas, noriu nusipirkti automobilio plovimą per programėlę, kad nereikėtų eiti į degalinę.;As a mobile app user, I want to buy a car wash through the app so I don't have to go to the gas station.;1;1;1
Aš kaip mobilios programėlės vartotojas, noriu pabendrinti programėlę draugui, kad draugas galėtų atsisiųti programėlę. ;As a mobile app user, I want to share the app to a friend so that the friend can download the app.;1;1;1
Aš kaip mobilios programėlės vartotojas, noriu pagrindiniame lange matyti turimus automobilio plovyklos abonementus, kad žinočiau kiek turiu aktyvių abonementų.;As a user of the mobile app, I want to see the available car wash subscriptions in the main window so that I know how many active subscriptions I have.;1;1;1
Aš kaip mobilios programėlės vartotojas, noriu palikti atsiliepimą, kad žinotų kliento nuomonę.;As a mobile app user, I want to leave a review to know the customer's opinion.;1;1;1
Aš kaip mobilios programėlės vartotojas, noriu pasidalinti su draugais apie pasiektą kitą lojalumo lygį.;As a mobile app user, I want to share with my friends about the next level of loyalty achieved.;1;0;1
Aš kaip mobilios programėlės vartotojas, noriu pasinaudoti lojalumo kortele per telefoną, kad greičiau atsiskaityti.;As a user of the mobile app, I want to use the loyalty card over the phone to pay faster.;1;1;1
Aš kaip mobilios programėlės vartotojas, noriu prisidėti bankinę kortelę, kad galėčiau atsiskaityti.;As a user of the mobile app, I want to add a bank card to pay.;1;1;1
Aš kaip mobilios programėlės vartotojas, noriu prisidėti kelias lojalumo korteles, kad matyčiau savo kaupimus. ;As a mobile app user, I want to contribute multiple loyalty cards to see my savings.;1;1;1
Aš kaip mobilios programėlės vartotojas, noriu sukurti piniginės saugos kodą.;As a mobile app user, I want to create a wallet security code.;1;0;1
Aš kaip mobilios programėlės vartotojas, noriu suvesti nuolaidos kodą, kad gaučiau nuolaidą kitam apsipirkimui.;As a mobile app user, I want to enter a discount code to get a discount on my next purchase.;1;1;1
Aš kaip mobilios programėlės vartotojas, noriu turėti galimybę filtruoti degalines.;As a mobile app user, I want to be able to filter gas stations.;1;0;1
Aš kaip mobilios programėlės vartotojas, noriu turėti galimybę ištrinti pasirinktus filtrus prie degalinių sąrašo, kad matyčiau pilną sąrašą.;As a user of the mobile app, I want to be able to delete selected filters on the list of gas stations to see the full list.;1;1;1
Aš kaip mobilios programėlės vartotojas, noriu turėti galimybę ištrinti savo paskyrą, kad nebūtų aktyvi nenaudojama paskyra. ;As a user of the mobile app, I want to be able to delete my account so that I don't have an active unused account.;1;1;1
Aš kaip mobilios programėlės vartotojas, noriu turėti galimybę nusipirkti automobilio abonementą mėnesiui, kad nereikėtų pirkti kiekvieną dieną. ;As a mobile app user, I want to be able to buy a monthly car pass so I don't have to buy every day.;1;1;1
Aš kaip mobilios programėlės vartotojas, noriu turėti galimybę panaikinti prikabintą kelionės lapą, kad galėčiau įkelti naują su teisingais duomenimis. ;As a mobile app user, I want to be able to delete an attached trip sheet so I can upload a new one with the correct data.;1;1;1
Aš kaip mobilios programėlės vartotojas, noriu turėti galimybę pasirinkti kalbą, kad rodytų informaciją suprantama kalba.;As a mobile app user, I want to be able to choose a language to display information in an understandable language.;1;1;1
Aš kaip mobilios programėlės vartotojas, noriu turėti galimybę pasirinkti rinkodaros sutikimus, kad gaučiau specialius pasiūlymus. ;As a mobile app user, I want to be able to choose marketing consents to receive special offers.;1;1;1
Aš kaip mobilios programėlės vartotojas, noriu turėti galimybę paskaityti apie taisykles, kad žinočiau įmonės taisykles ir sąlygas. ;As a mobile app user, I want to be able to read the rules so I know the terms and conditions of the company.;0;1;0
Aš kaip mobilios programėlės vartotojas, noriu turėti galimybę prisidėti rekvizitus, kad atsiskaitymo galėčiau pasirinkti ir greičiau atsiskaityti. ;As a user of the mobile app, I want to be able to add details so that I can choose a payment method and pay faster.;0;1;0
Aš kaip mobilios programėlės vartotojas, noriu turėti galimybę programėlėje iš pasirinktos degalinės įjungti navigaciją, kad būtų greičiau.;As a user of a mobile app, I want to be able to activate navigation from the selected gas station in the app to make it faster.;1;1;1
Aš kaip mobilios programėlės vartotojas, noriu turėti galimybę sustabdyti užsakytą kurą nuotoliniu būdu.;As a mobile app user, I want to be able to stop the ordered fuel remotely.;1;0;1
Aš kaip mobilios programėlės vartotojas, noriu turėti paskyrą, kad galėčiau skaityti naujausius straipsnius ir atnaujinimus.;As a mobile app user, I want to have an account to read the latest articles and updates.;0;1;0
Aš kaip mobilios programėlės vartotojas, noriu užsakyti kuro pylimą nuotoliniu būdu, kad apmokėčiau už vairuotoją.;As a user of the mobile app, I want to order a fuel fill remotely to pay for the driver.;1;1;1
Aš kaip mobilios programėlės vartotojas, noriu užsiregistruoti į programėlę be nuolaidų kortelės, kad galėčiau gauti naują virtualią nuolaidų kortelę. ;As a mobile app user, I want to register for the app without a discount card to get a new virtual discount card.;1;1;1
Aš kaip mobilios programėlės vartotojoas, noriu turėti galimybę pasirinkti filtrus, kad surasčiau tinkamą parduotuvę.;As a mobile app user, I want to be able to select filters to find the right store.;1;1;1
Aš kaip naujas lojalumo vartotojas, noriu užsiregistruoti į sistemą, kad gaučiau nuolaidas.;As a new loyalty user, I want to register for the system to receive discounts.;1;1;1
Aš kaip parduotuvės personalo vadovas, noriu sistemoje sukurti nuolaidas savo darbuotojams, kad jie galėtų pasinaudoti. ;As a store HR manager, I want to create discounts in the system for my employees to take advantage of.;1;1;1
Aš kaip personalo vadybininkas, noriu automatizuoti laiškų siuntimą iš vienos sistemos, kad nereikėtų kiekvienam kandidatui rašyti atskirą  laišką.;As a HR manager, I want to automate the sending of letters from one system so that I don't have to write a separate letter for each candidate.;1;1;1
Aš kaip personalo vadybininkas, noriu gauti pranešimus iš personalo procesų sistemos, kai pasikeičia darbuotojų pareigos, kad paruoščiau dokumentus. ;I, as an HR manager, want to receive notifications from the HR process system when employees' duties change, in order to prepare documents.;1;1;1
Aš kaip personalo vadybininkas, noriu personalo procesų sistemoje matyti visų darbuotojų atostogas, kad žinočiau. ;As an HR manager, I want to see the leave of all employees in the HR process system so that I know.;1;1;1
Aš kaip personalo vadybininkas, noriu personalo procesų sistemoje sujungti kandidatų korteles su darbuotojų, kad būtų susieti įrašai.;As an HR manager, I want to link candidate cards to employee cards in the HR process system to link records.;1;1;1
Aš kaip personalo vadybininkas, noriu personalo procesų sistemoje turėti galimybę patvirtinti kasmėnesinius priedus, kad sutikrinti sumas. ;As an HR manager, I want to be able to approve monthly allowances in the HR process system to check the amounts.;1;1;1
Aš kaip personalo vadybininkas, noriu personalo procesų sistemoje turėti galimybę priskirti bandoojo laikotarpio užduotys darbuotojui, kad žinotų savo tikslus. ;As an HR manager, I want to be able to assign probationary tasks to an employee in the HR process system so that they know their goals.;1;1;1
Aš kaip personalo vadybininkas, noriu personalo procesų sistemoje turėti galimybę sukurti kandidato kortelę, kad galėčiau sužymėti kandidato informaciją. ;As an HR manager, I want to be able to create a candidate card in the HR process system to record candidate information.;1;1;1
Aš kaip personalo vadybininkas, noriu sistemoje matyti darbuotojų sąrašą, kad galėčiau tvarkyti jų dokumentus.;As a personnel manager, I want to see a list of employees in the system so that I can manage their documents.;1;1;1
Aš kaip personalo vadybininkas, noriu sistemoje tvirtinti darbuotojų atostogų prašymus, kad darbuotojai galėtų eiti atostogų. ;As an HR manager, I want to approve employee leave requests in the system so that employees can go on vacation.;1;1;1
Aš kaip personalo vadybininkas, noriu sukurti vidiniame intranete naujienų įrašą, kad galėčiau informuoti darbuotojus.;As an HR manager, I want to create a news post on the internal intranet to inform employees.;1;1;1
Aš kaip personalo vadybininkas, noriu tvarkyti komandiruočių įrašus, kad galėčiau paruošti įsakymus. ;As a personnel manager, I want to manage posting records so I can prepare orders.;1;1;1
Aš kaip programėlės administratorius, noriu stebėti vartotojų veiklos žurnalus, kad galėčiau sekti programėlės  naudojimo modelius.;As an app admin, I want to monitor user activity logs to track app usage patterns.;1;1;1
Aš kaip programėlės vartotojas, noriu atsiimti nemokamą kavą, kad galėčiau pasinaudoti sukauptu kuponu.;As a user of the app, I want to claim a free coffee to use the accumulated coupon.;1;1;1
Aš kaip programuotojas, noriu įgyvendinti neprisijungimo režimą, kad vartotojai galėtų toliau naudotis mobilią programėlę be interneto ryšio.;As a developer, I want to implement an offline mode so that users can continue to use the mobile app without an internet connection.;1;1;1
Aš kaip programuotojas, noriu įgyvendinti SEO geriausias praktikas, kad svetainė gerai reitinguotųsi paieškos sistemose.;As a programmer, I want to implement SEO best practices so that the website ranks well in search engines.;1;1;1
Aš kaip programuotojas, noriu optimizuoti svetainės įkrovimo laiką, kad lankytojai turėtų sklandžią patirtį.;As a developer, I want to optimize the site's loading time so that visitors have a smooth experience.;1;1;1
Aš kaip programuotojas, noriu padaryti sinchronizacija lojalumo sistemoje su mobilia programėle, kad rodytų tuos pačius duomenis. ;As a programmer, I want to synchronize the loyalty system with the mobile app to show the same data.;1;1;1
Aš kaip programuotojas, noriu pagerinti mobilios programėlės užsikrovimo laiką.;As a developer, I want to improve the loading time of my mobile app.;1;0;1
Aš kaip programuotojas, noriu sukurti automatinį kupono aktyvavimą, kad vartotojui nereikėtų aktyvuoti rankiniu būdu.;As a programmer, I want to create an automatic coupon activation so that the user does not have to activate manually.;1;1;1
Aš kaip programuotojas, noriu sukurti kvito spausdinimo išjungimą mobilioje programėlėje, kad pasirinkti nespausdinti kvitų.;As a developer, I want to create a receipt printing disable in a mobile app to choose not to print receipts.;1;1;1
Aš kaip programuotojas, noriu sukurti lojalumo taškų kaupimą, kad klientai galėtų kaupti taškus. ;As a programmer, I want to create a loyalty points collection so that customers can collect points.;1;1;1
Aš kaip programuotojas, noriu sukurti mėgstamiausių parduotuvių sąrašą, kad vartotojai galėtų sudaryti mėgstamiausią sąrašą.;As a programmer, I want to create a list of favorite stores so that users can create a favorite list.;1;1;1
Aš kaip programuotojas, noriu sukurti mobilioje programėlėje degalinių paieškos funkciją pagal adresą, kad vartotojai lengviau surastų.;As a programmer, I want to create a search function for gas stations by address in a mobile app, so that users can find them more easily.;1;1;1
Aš kaip programuotojas, noriu sukurti pagal dizainą nupieštą komponentą, kad galėčiau vėliau perpanaudoti.;As a programmer, I want to create a design-drawn component to reuse later.;1;1;1
Aš kaip programuotojas, noriu sukurti programėlės lokacijos įjungimo funkciją, kad vartotojai galėtų pasinaudoti paslaugomis ir atsiskaityti. ;As a programmer, I want to create a location enablement function for the app so that users can use the services and pay.;0;1;0
Aš kaip programuotojas, noriu sukurti vartotojui galimybę aktyvuoti kuponą, kad galėtų norimu laiku aktyvuoti. ;As a programmer, I want to create an opportunity for the user to activate the coupon so that he can activate it at the desired time.;1;1;1
Aš kaip registruotas vartotojas, noriu turėti galimybę atkurti savo slaptažodį, kad neprarasčiau prieigos prie savo paskyros.;As a registered user, I want to be able to reset my password so I don't lose access to my account.;1;1;1
Aš kaip suinteresuota šalis, noriu informuoti klientus apie taisyklių pakeitimus, kad klientai būtų informuoti.;As an interested party, I want to inform customers about the changes in the rules so that customers are informed.;1;1;1
Aš kaip suinteresuota šalis, noriu paslėpti programėlėje galimybę suvesti rekvizitus, kad klientai galėtų atsiskaityti per programėlę.;As an interested party, I want to hide the ability to enter details in the app so that customers can pay through the app.;1;1;1
Aš kaip suinteresuota šalis, noriu pridėti į mobilią programėlę animacijų, kad pritraukti daugiau klientų. ;As a stakeholder, I want to add animations to the mobile app to attract more customers.;1;1;1
Aš kaip suinteresuota šalis, noriu sukurti programėlėje žaidimą, kad pritraukti daugiau vartotojų.;As a stakeholder, I want to create a game in the app to attract more users.;1;1;1
Aš kaip suinteresuota šalis, noriu suteikti galimybę vartotojams peržiūrėti kelias skirtingas prekes tame pačiame puslapyje, kad nereikėtų iš naujo atidaryti svetainės lango. ;As a stakeholder, I want to enable users to view multiple different products on the same page without having to reopen the website window.;1;1;1
Aš kaip svetainės lankytojas, noriu pasikeisti paskyros slaptažodį, kad atnaujinti į saugesnį.;As a website visitor, I want to change my account password to upgrade to a more secure one.;1;1;1
Aš kaip svetainės lankytojas, noriu paskyroje pasikeisti telefono numerį, kad būtų įrašytas aktyvus telefono numeris. ;I, as a visitor of the site, want to change the phone number in my account to record an active phone number.;1;1;1
Aš kaip svetainės lankytojas, noriu turėti galimybę pranešti apie svetainės klaidas, kad programuotojai galėtų pataisyti. ;As a website visitor, I want to be able to report bugs on the website so that the developers can fix them.;1;1;1
Aš kaip svetainės lankytojas, noriu, kad svetainė būtų greita ir nereikalautų ilgo įkrovimo laiko, kad galėčiau greitai pasiekti norimą turinį.;As a website visitor, I want the website to be fast and not require long loading times so that I can quickly access the content I want.;1;1;1
Aš kaip svetainės lankytojas, noriu, kad svetainė būtų optimizuota mobiliesiems įrenginiams, kad galėčiau patogiai naršyti savo telefone.;As a website visitor, I want the website to be mobile optimized so I can browse comfortably on my phone.;1;1;1
Aš kaip svetainės lankytojas, noriu, kad svetainė būtų reaguojanti, kad ji atrodytų gerai bet kuriame įrenginyje.;As a website visitor, I want the website to be responsive so that it looks good on any device.;0;1;0
Aš kaip svetainės savininkas, noriu įtraukti kontaktinę formą, kad lankytojai galėtų lengvai su mumis susisiekti.;As a website owner, I want to include a contact form so that visitors can easily contact us.;1;1;1
Aš kaip testuotojas, noriu atlikti naudotojų patirties testavimą, kad įsitikinčiau, jog vartotojui sąsaja yra paprasta ir patogi.;As a tester, I want to do user experience testing to make sure that the interface is simple and convenient for the user.;0;1;0
Aš kaip testuotojas, noriu automatizuoti regresijos testus, kad galėčiau greičiau aptikti pasikartojančias klaidas.;As a tester, I want to automate regression tests so that I can find recurring bugs faster.;1;1;1
Aš kaip testuotojas, noriu gauti patvirtinimo kodus į el. paštą, kad nereikėtų jungtis į duomenų bazę. ;As a tester, I want to receive verification codes by email. mail to avoid connecting to the database.;1;1;1
Aš kaip testuotojas, noriu gauti pranešimus apie naujai išleistas programėles, kad galėčiau ištestuoti funkcionalumus. ;As a tester, I want to receive notifications about newly released apps so that I can test the functionalities.;1;1;1
Aš kaip mobilios programėlės vartotojas, noriu matyti pagal segemento lygį nuolaidas, kad žinočiau kiek reikia išleisti pinigų iki aukščiausio lygio. ;As a mobile app user, I want to see discounts by segment level so I know how much to spend to get to the top tier.;1;1;1
Aš kaip testuotojas, noriu įvertinti saugumo spragas, kad galėčiau užtikrinti, jog sistema yra apsaugota nuo galimų grėsmių.;As a tester, I want to assess security holes to ensure that the system is protected from potential threats.;1;1;1
Aš kaip testuotojas, noriu kurti integracijos testus, kad galėčiau patikrinti, ar visos sistemos dalys veikia kartu be klaidų.;As a tester, I want to create integration tests to verify that all parts of the system work together without errors.;0;1;1
Aš kaip testuotojas, noriu naudoti API testavimo įrankį, kad patikrinčiau duomenų mainų tarp sistemų kokybę ir patikimumą.;As a tester, I want to use an API testing tool to test the quality and reliability of data exchange between systems.;0;1;0
Aš kaip testuotojas, noriu naudoti klaidų prioritetų nustatymo sistemą, kad galėčiau efektyviai paskirstyti savo testavimo laiką ir išteklius.;As a tester, I want to use a bug prioritization system to efficiently allocate my testing time and resources.;0;1;0
Aš kaip testuotojas, noriu naudoti testavimo aplinką, kuri imituoja tikras sąlygas, kad galėčiau tiksliau atkurti klaidas.;As a tester, I want to use a test environment that simulates real conditions so that I can more accurately reproduce errors.;1;1;1
Aš kaip testuotojas, noriu naudoti testavimo scenarijų įrašymo įrankį, kad galėčiau greičiau sukurti funkcinius testus.;As a tester, I want to use a test script recorder to create functional tests faster.;1;1;1
Aš kaip testuotojas, noriu simuliuoti skirtingas tinklo sąlygas, kad galėčiau užtikrinti aplikacijos veikimą įvairiose situacijose.;As a tester, I want to simulate different network conditions so that I can ensure the performance of the application in various situations.;1;1;1
